FullStreetName,file,n_points,n_inlets,n_sags,n_served,n_unserved,length_m,kb
FIG CM,FIG_CM.html,117,0,0,0,0,113.9,27.1
FESCUE CM,FESCUE_CM.html,72,0,0,0,0,70.9,24.6
MIRALOMA CT,MIRALOMA_CT.html,71,0,0,0,0,70.4,24.7
MILLS WY,MILLS_WY.html,149,0,0,0,0,148.1,28.4
MICHELL CT,MICHELL_CT.html,53,0,0,0,0,51.8,23.8
FOREST LN,FOREST_LN.html,77,0,0,0,0,75.5,24.8
FORDHAM CT,FORDHAM_CT.html,30,0,0,0,0,28.9,22.5
AVENUE T,AVENUE_T.html,101,0,0,0,0,100.0,26.1
AVENUE N,AVENUE_N.html,329,0,0,0,0,328.7,37.1
AVENUE L,AVENUE_L.html,136,0,0,0,0,135.4,27.9
AVENUE K,AVENUE_K.html,411,0,0,0,0,409.9,41.3
AVENUE J,AVENUE_J.html,291,0,0,0,0,288.8,35.5
AVENUE H,AVENUE_H.html,574,0,0,0,0,569.7,48.6
AVENUE G,AVENUE_G.html,226,0,0,0,0,224.1,32.0
AVENUE F,AVENUE_F.html,207,0,0,0,0,205.9,31.2
AVENUE D,AVENUE_D.html,73,0,0,0,0,71.3,24.5
TURNSTONE CT,TURNSTONE_CT.html,25,0,0,0,0,23.5,22.2
TULIP CT,TULIP_CT.html,38,0,0,0,0,36.7,22.9
TULANE CT,TULANE_CT.html,63,0,0,0,0,62.1,24.2
TROY ST,TROY_ST.html,54,0,0,0,0,53.0,23.7
TROUN WY,TROUN_WY.html,101,0,0,0,0,99.8,26.5
FREESIA CM,FREESIA_CM.html,140,0,0,0,0,138.6,28.1
FOLSOM CT,FOLSOM_CT.html,76,0,0,0,0,75.3,24.9
TYLER AV,TYLER_AV.html,251,0,0,0,0,249.7,33.7
B ST,B_ST.html,154,0,0,0,0,152.3,28.5
AZALEA CT,AZALEA_CT.html,37,0,0,0,0,35.7,22.8
AVON PL,AVON_PL.html,31,0,0,0,0,30.2,22.4
MALIBU CT,MALIBU_CT.html,31,0,0,0,0,30.2,22.5
MALBEC CM,MALBEC_CM.html,35,0,0,0,0,34.1,22.8
MADRONE WY,MADRONE_WY.html,345,0,0,0,0,343.5,37.9
GLACIER PL,GLACIER_PL.html,48,0,0,0,0,46.9,23.4
GLACIER DR,GLACIER_DR.html,240,0,0,0,0,238.7,32.8
