FullStreetName,file,n_points,n_inlets,n_sags,n_served,n_unserved,length_m,kb
SUNNYBROOK WY,SUNNYBROOK_WY.html,69,4,0,0,0,67.0,35.2
SUMMERTREE CT,SUMMERTREE_CT.html,100,4,0,0,0,98.8,37.1
BERRYESSA CT,BERRYESSA_CT.html,76,4,0,0,0,75.3,35.6
GOLDENROD DR,GOLDENROD_DR.html,380,4,0,0,0,378.8,55.3
RUTH WY,RUTH_WY.html,202,4,0,0,0,199.3,41.9
RUBY CT,RUBY_CT.html,38,4,0,0,0,37.1,33.8
RUBICON WY,RUBICON_WY.html,257,4,0,0,0,252.9,44.0
CHAUCER CT,CHAUCER_CT.html,124,4,0,0,0,122.7,44.6
ROSE ST,ROSE_ST.html,159,4,0,0,0,156.5,39.6
ROLLING HILLS CT,ROLLING_HILLS_CT.html,141,4,1,1,0,140.2,44.9
CLARET RD,CLARET_RD.html,121,4,0,0,0,120.2,38.1
RIVIERA CT,RIVIERA_CT.html,126,4,0,0,0,124.4,37.9
RIESLING CI,RIESLING_CI.html,322,4,0,0,0,320.5,46.9
RIDGESTONE RD,RIDGESTONE_RD.html,74,4,1,1,0,72.7,41.9
N GREENVILLE RD,N_GREENVILLE_RD.html,650,4,0,0,0,646.1,62.6
FAIRBROOK CT,FAIRBROOK_CT.html,120,4,1,1,0,118.9,43.9
BAVA CM,BAVA_CM.html,42,4,0,0,0,41.0,33.9
GREENWICH AV,GREENWICH_AV.html,153,4,0,0,0,152.1,39.4
LAUREL CREEK PL,LAUREL_CREEK_PL.html,105,4,1,1,0,104.6,43.4
RAMBLEWOOD PL,RAMBLEWOOD_PL.html,109,4,0,0,0,108.1,37.4
CORIANDER CM,CORIANDER_CM.html,31,4,0,0,0,29.5,33.2
COLUMBINE WY,COLUMBINE_WY.html,178,4,1,1,0,176.7,52.6
RICKENBACKER PL,RICKENBACKER_PL.html,160,4,0,0,0,159.1,39.6
RESERVE CM,RESERVE_CM.html,41,4,0,0,0,39.9,34.1
ENOS WY,ENOS_WY.html,382,4,1,1,0,377.8,56.4
BARLETA LN,BARLETA_LN.html,150,4,0,0,0,148.9,39.3
BALBOA WY,BALBOA_WY.html,160,4,0,0,0,158.5,39.5
VALLEY VIEW WY,VALLEY_VIEW_WY.html,185,4,0,0,0,182.6,41.3
VALLEY VIEW CT,VALLEY_VIEW_CT.html,34,4,0,0,0,33.2,33.7
TUSCANY CT,TUSCANY_CT.html,145,4,1,1,0,143.9,45.5
NORWOOD RD,NORWOOD_RD.html,495,4,1,1,0,491.1,61.1
PULSAR AV,PULSAR_AV.html,439,4,1,1,0,434.1,59.2
CORRAL ST,CORRAL_ST.html,78,4,1,1,0,77.1,41.8
EL CAPITAN WY,EL_CAPITAN_WY.html,174,4,0,0,0,173.9,40.5
EDGEWOOD WY,EDGEWOOD_WY.html,215,4,1,1,0,213.7,48.2
NINA WY,NINA_WY.html,99,4,0,0,0,97.8,36.9
NIGHTINGALE ST,NIGHTINGALE_ST.html,379,4,0,0,0,375.4,55.4
